"plotLon","plotLat","temp","prec","therm","deficit","moisture","soil","elev"
"100179835010478_ereg_232",-76.4438,37.872,9.023,1133.449,637.663,2409.649,-0.647,"Others",12.3166160583496
"100180733010661_ereg_212",-86.3519,46.5046,-8.318,835.202,649.478,827.026,0.949,"SpodHist",280.358978271484
"100180926010661_ereg_212",-86.0475,46.4379,-7.53,812.498,132.211,2143.372,0,"SpodHist",267.377624511719
"100180968010661_ereg_212",-86.0304,46.4146,-7.895,805.429,129.155,2118.959,-1,"SpodHist",250.478057861328
"100181092010661_ereg_212",-86.0491,46.3804,-8.32,803.295,139.579,1907.703,-1,"SpodHist",236.517532348633
"100181130010661_ereg_212",-85.8726,46.373,-7.728,801.192,125.778,1878.827,1,"SpodHist",229.12174987793
"100181343010661_ereg_212",-86.3116,46.2927,-6.245,820.013,139.733,1850.499,0.915,"SpodHist",231.719436645508
"100181394010478_ereg_231",-77.7919,38.2877,8.047,1086.793,635.517,2267.809,-0.062,"Others",140.397277832031
"100181800010478_ereg_M221",-78.5299,38.4624,7.183,1077.524,941.058,1574.404,0.054,"AlfInc",398.202117919922
"100181813010661_ereg_212",-86.3938,46.0328,-5.71,781.462,118.033,1720.571,1,"SpodHist",191.60774230957
"100181925010478_ereg_M221",-78.4607,38.5562,7.348,1152.164,407.805,2425.767,0.442,"AlfInc",416.571685791016
"100182086010478_ereg_M221",-78.382,38.6956,7.29,1049.919,640.502,2055.547,0.477,"AlfInc",484.897186279297
"100182277010661_ereg_212",-86.252,45.9758,-7.87,754.842,125.518,1836.581,0.136,"SpodHist",191.171340942383
"100182542010478_ereg_231",-80.2049,36.8163,10.35,1205.03,1243.29,1584.935,0.51,"UltKan",365.180053710938
"100182567010661_ereg_212",-86.1993,46.4322,-6.593,820.179,456.813,1197.43,0.512,"SpodHist",262.263000488281
"100182629010478_ereg_M221",-80.289,36.8477,7.368,1229.147,1031.021,1478.039,-0.713,"Others",666.239562988281
"100182656010661_ereg_212",-86.1002,46.2869,-7.308,801.724,135.79,1872.144,-0.883,"SpodHist",221.058654785156
"100182723010661_ereg_212",-85.9489,46.215,-7.6,798.209,195.058,1828.969,1,"SpodHist",216.929382324219
"100182955010661_ereg_212",-86.5034,46.2085,-5.775,829.949,388.317,1514.985,-0.725,"SpodHist",252.334838867188
"100182963010478_ereg_231",-80.4536,36.5817,11.372,1258.227,1324.139,1538.932,0.019,"Others",475.737548828125
"100183032010478_ereg_231",-80.1871,36.7574,11.828,1251.592,1328.072,1567.79,0.461,"UltKan",409.17041015625
"100183155010661_ereg_222",-84.1048,42.8187,-5.33,815.392,119.015,2310.348,0.15,"Mol",265.723785400391
"100183258010661_ereg_222",-84.3369,42.9628,-4.975,812.409,110.359,2461.256,-0.06,"Mol",232.951705932617
"100183525010661_ereg_222",-83.2803,43.3602,-6.357,801.472,121.781,2287.171,0.378,"AlfInc",252.217529296875
"100183652010478_ereg_231",-79.4551,36.9109,10.752,1121.336,743.003,2581.827,0.831,"UltKan",268.225646972656
"100183793010661_ereg_222",-83.2117,43.5146,-5.713,809.6,120.547,2202.038,-0.424,"AlfInc",222.051864624023
"100183916010661_ereg_222",-83.4274,43.4356,-5.265,808.16,117.804,2184.744,-0.055,"SpodHist",209.510498046875
"100184051010478_ereg_231",-79.3781,37.0377,10.545,1096.644,723.001,2447.884,-0.413,"UltKan",231.202972412109
"100184114010661_ereg_222",-85.837,42.3351,-0.613,986.052,720.287,1603.061,-0.088,"EntVert",244.042495727539
"100184159010661_ereg_222",-85.848,42.2588,-2.062,967.319,176.793,2366.344,0.528,"EntVert",223.118606567383
"100184178010478_ereg_231",-79.2926,36.5839,11.565,1098.425,780.678,2684.41,-1,"Others",151.633560180664
"100184535010661_ereg_222",-84.0676,42.1325,-2.957,851.368,192.263,2485.746,0.15,"AlfInc",305.0205078125
"100184980010478_ereg_231",-77.978,37.5924,9.78,1090.003,677.433,2230.236,-0.416,"UltKan",96.7658767700195
"100185301010661_ereg_212",-85.5467,44.436,-5.455,829.525,108.071,2146.242,0,"SpodHist",306.749633789062
"100185387010661_ereg_212",-85.3494,44.5075,-4.62,819.683,101.824,2122.084,-0.816,"SpodHist",311.022125244141
"100185482010661_ereg_212",-85.3918,44.4557,-6.38,819.211,94.244,2217.582,1,"EntVert",322.161407470703
"100185715010661_ereg_212",-85.4139,44.3592,-6.977,842.883,80.989,2135.715,0,"SpodHist",431.797180175781
"100186311010661_ereg_212",-85.6079,44.3552,-5.982,845.135,345.463,1753.684,-0.109,"SpodHist",386.879913330078
"100186408010661_ereg_212",-85.8066,44.2875,-4.25,855.565,387.621,1856.123,0.477,"SpodHist",273.320922851562
"100186496010478_ereg_232",-77.1525,37.2364,11.31,1148.386,547.746,2562.442,0.334,"Others",29.3501853942871
"100186718010661_ereg_212",-87.7036,46.7243,-5.953,851.939,165.666,1767.256,-0.04,"SpodHist",280.616821289062
"100186828010478_ereg_221",-77.4289,38.6564,7.652,1031.906,679.397,2249.436,0.19,"Others",116.256423950195
"100186982010661_ereg_212",-87.9029,46.6359,-7.022,854.593,163.749,1638.55,-1,"SpodHist",537.813232421875
"100187153010478_ereg_M221",-80.7637,37.1659,7.805,1000.83,750.521,1805.675,0,"AlfInc",725.568420410156
"100187171010661_ereg_212",-87.4356,46.5629,-6.947,759.449,501.976,1589.35,0.672,"SpodHist",216.615417480469
"100187285010478_ereg_M221",-78.2298,38.6706,5.89,1143.272,597.851,1956.599,0.585,"AlfInc",255.770050048828
"100187391010478_ereg_M221",-78.2775,38.6056,4.15,1299.214,1142.523,1189.206,-0.748,"AlfInc",620.561462402344
"100187567010661_ereg_212",-87.6808,46.333,-6.672,792.556,198.704,1804.717,0.995,"SpodHist",423.384918212891
"100187663010661_ereg_212",-87.5021,46.3402,-8.37,810.825,165.13,1905.672,0.957,"SpodHist",366.772857666016
"100187768010478_ereg_M221",-80.1532,37.1734,5.367,1267.602,690.758,1571.096,-0.144,"UltKan",1024.13439941406
"100188040010478_ereg_M221",-79.5871,37.6839,8.585,1133.403,1369.584,1167.177,0,"AlfInc",808.840454101562
"100188181010661_ereg_212",-87.7391,46.2605,-9.205,770.746,157.395,1878.957,0.259,"SpodHist",393.611297607422
"100188196010478_ereg_M221",-79.2375,37.8647,10.207,1068.063,1521.671,1222.554,-0.289,"AlfInc",479.923156738281
"100188300010661_ereg_212",-87.5652,46.264,-7.885,792.966,135.692,1884.255,0.584,"SpodHist",364.125610351562
"100188332010478_ereg_M221",-79.4132,37.6651,9.89,1064.891,1226.396,1536.673,1,"AlfInc",320.980010986328
"100188427010478_ereg_M221",-79.2179,37.8178,9.482,1192.593,1415.937,1121.261,0.086,"AlfInc",529.652221679688
"100188608010478_ereg_M221",-79.6198,37.8993,7.875,1128.001,1345.381,1164.103,-0.301,"Others",641.005432128906
"100188630010661_ereg_212",-87.5771,46.1855,-7.45,779.87,209.054,1825.859,0.672,"SpodHist",344.3173828125
"100188711010661_ereg_212",-87.4135,46.1841,-4.688,813.556,202.142,1873.9,1,"SpodHist",321.443206787109
"100188743010478_ereg_M221",-78.9422,38.5699,5.848,950.652,568.877,1961.591,-0.774,"AlfInc",754.69189453125
"100188849010478_ereg_M221",-78.8826,38.7399,4.53,1079.485,789.157,1582.334,-0.577,"AlfInc",774.850830078125
"100188916010478_ereg_M221",-78.9274,38.661,6.365,920.54,368.668,2311.8,0.266,"Others",363.032928466797
"100188976010478_ereg_M221",-78.855,38.4005,7.235,925.357,411.406,2666.727,-0.267,"Others",433.630340576172
"100189113010478_ereg_M221",-78.5471,38.3807,6.48,1211.523,599.745,2087.468,0.823,"AlfInc",501.393737792969
"100189203010478_ereg_M221",-78.671,38.4765,7.915,947.444,803.513,1805.21,-0.002,"AlfInc",464.660583496094
"100189204010661_ereg_212",-87.8543,46.4155,-8.46,798.129,312.137,1494.188,0.984,"SpodHist",450.2431640625
"100189246010661_ereg_212",-87.9543,46.5672,-7.19,835.745,138.827,1687.836,0,"SpodHist",505.834533691406
"100189360010661_ereg_212",-87.7729,46.5638,-4.378,827.125,141.238,1724.604,-0.125,"SpodHist",503.500274658203
"100189454010478_ereg_M221",-79.0329,38.7247,6.08,998.183,583.816,1912.895,-0.363,"AlfInc",719.733642578125
"100189504010661_ereg_212",-87.5964,46.5713,-7.31,883.916,395.594,1491.802,-1,"SpodHist",410.134216308594
"100189513010478_ereg_M221",-79.0626,38.6494,4.633,1063.951,1255.397,1033.424,0.399,"AlfInc",653.989013671875
"100189622010478_ereg_M221",-82.391,36.8469,7.482,1189.006,667.3,2009.048,-0.714,"Others",490.940277099609
"100189644010661_ereg_212",-87.4521,46.5104,-7.345,851.987,540.128,1184.782,0,"SpodHist",317.187133789062
"100189794010661_ereg_212",-87.5332,46.6367,-4.91,808.237,194.506,1832.03,0.141,"SpodHist",244.47021484375
"100189946010661_ereg_212",-87.9852,46.7808,-4.852,830.827,210.171,1771.749,0,"SpodHist",424.198944091797
"100190012010478_ereg_M221",-82.2502,36.9153,8.135,1148.008,696.08,2095.908,0,"Others",511.053894042969
"100190054010661_ereg_212",-87.9961,46.8785,-3.07,788.531,142.606,1750.875,-1,"SpodHist",330.681243896484
"100190156010661_ereg_212",-87.8391,46.8626,-4.828,755.493,138.349,1639.16,-0.907,"SpodHist",207.968078613281
"100190326010478_ereg_M221",-82.6781,36.8113,7.27,1217.2,951.535,1459.511,-0.846,"AlfInc",872.209533691406
"100190399010661_ereg_212",-87.4606,46.4101,-9.065,824.339,338.828,1809.887,-1,"SpodHist",365.867340087891
"100190442010478_ereg_M221",-82.5017,36.8186,8.685,1165.105,716.807,2033.042,-0.065,"Others",415.639343261719
"100190452010661_ereg_212",-87.4819,46.2054,-6.913,805.268,135.062,1813.857,-0.12,"SpodHist",334.167877197266
"100190596010478_ereg_M221",-82.4143,36.7325,9.605,1165.978,805.253,2230.266,-0.038,"Others",585.972717285156
"100190664010661_ereg_212",-87.2438,46.1092,-5.265,824.246,140.921,1867.611,1,"SpodHist",305.409240722656
"100190701010478_ereg_M221",-82.5678,36.7347,8.508,1162.236,729.691,2049.694,0.133,"Others",644.548889160156
"100190754010661_ereg_212",-87.7972,46.4858,-7.5,816.058,145.658,1763.434,-0.515,"SpodHist",496.533996582031
"100190909010478_ereg_M221",-78.5256,38.78,7.922,1055.637,1330.824,1140.892,0.812,"AlfInc",561.875549316406
"100190982010661_ereg_212",-86.0835,44.0347,-5.607,865.623,372.662,1872.928,0,"SpodHist",235.515808105469
"100191055010478_ereg_M221",-78.4324,38.9257,7.018,959.464,418.53,2578.038,-0.099,"AlfInc",223.822952270508
"100191116010478_ereg_M221",-78.4708,38.8557,6.527,991.71,408.531,2464.504,0.261,"AlfInc",447.828979492188
"100191143010661_ereg_212",-86.1006,43.9548,-8.365,872.729,121.149,2199.907,-0.984,"SpodHist",222.084335327148
"100191165010478_ereg_M221",-78.557,39.0085,3.435,1039.528,458.515,1871.342,-0.551,"AlfInc",730.7041015625
"100191228010478_ereg_M221",-78.7904,38.863,4.573,1100.303,649.246,1752.686,-0.63,"AlfInc",592.385070800781
"100191300010478_ereg_M221",-81.5522,36.8758,8.367,1099.765,1251.793,1319.137,-0.213,"AlfInc",766.098754882812
"100191372010478_ereg_M221",-81.4944,36.7156,5.315,1270.323,1317.445,883.669,1,"Others",997.3046875
"100191525010478_ereg_M221",-81.4427,36.8889,8.035,1099.993,1470.292,955.101,-0.737,"AlfInc",779.057739257812
"100191655010478_ereg_M221",-81.7199,36.8813,7.383,1118.087,680.552,2125.447,0.387,"Others",710.046508789062
"100191832010478_ereg_232",-77.1884,36.6913,11.255,1178.785,1363.177,1648.272,0,"Others",42.042106628418
"100192068010478_ereg_232",-76.8974,36.8884,11.473,1191.38,1367.355,1647.172,0.711,"Others",30.1337051391602
"100192274010661_ereg_212",-87.5054,45.9396,-6.893,776.833,154.065,1846.746,1,"SpodHist",307.819458007812
"100192484010478_ereg_231",-77.7924,38.0844,8.625,1142.285,626.932,2286.474,0.077,"Others",92.7158432006836
"100192538010661_ereg_212",-87.5425,45.8685,-5.922,782.044,200.252,1880.133,1,"SpodHist",297.988952636719
"100193070010661_ereg_212",-87.4227,45.7299,-4.93,779.497,138.585,1861.765,-0.043,"SpodHist",241.815963745117
"100193152010478_ereg_232",-77.5035,38.1812,8.223,1091.377,738.279,2274.528,0.197,"Others",73.1889038085938
"100193180010661_ereg_212",-87.7669,45.7143,-6.768,754.885,142.327,1973.307,0,"SpodHist",280.675079345703
"100193427010478_ereg_231",-77.869,38.1201,8.247,1107.287,616.346,2381.929,0.189,"UltKan",109.857849121094
"100193464010661_ereg_212",-87.6993,45.5562,-5.973,765.607,241.899,1961.07,1,"SpodHist",245.546356201172
"100193557010478_ereg_231",-77.5821,38.4071,8.485,1049.017,569.283,2323.295,-0.387,"UltKan",103.006874084473
"100193666010478_ereg_231",-77.5162,38.488,7.925,1030.94,677.341,2238.829,0.288,"UltKan",70.107048034668
"100194115010478_ereg_232",-77.388,38.4031,8.273,1032.738,727.357,2261.035,0.093,"Others",59.4732780456543
"100194430010661_ereg_212",-87.6834,45.1879,-6.613,794.14,253.149,1904.019,0.659,"SpodHist",198.138977050781
"100194986010661_ereg_212",-84.5374,43.6687,-5.305,784.132,100.451,2157.043,-0.698,"EntVert",218.104461669922
"100195201010661_ereg_212",-84.4806,43.5475,-4.235,792.576,105.522,2178.128,0.463,"EntVert",215.626907348633
"100195308010661_ereg_212",-84.2478,43.5227,-6.135,794.948,104.571,2412.434,-0.125,"AlfInc",194.137405395508
"100195360010478_ereg_232",-77.2442,36.852,11.23,1173.481,954.383,2043.809,-0.318,"Others",37.3812484741211
"100195419010661_ereg_212",-84.4746,43.7511,-4.665,774.153,107.957,2214.031,0.223,"Mol",208.369430541992
"100195577010478_ereg_232",-77.1279,37.0809,11.387,1165.767,940.543,2020.309,0.608,"Others",44.9035835266113
"100195934010661_ereg_212",-84.9166,44.2703,-6.22,780.234,237.849,1965.588,0.243,"EntVert",341.609283447266
"100196153010661_ereg_212",-85.0459,44.4618,-6.525,818.56,95.397,2113.195,0,"SpodHist",384.658599853516
"100196336010478_ereg_231",-78.9451,37.0262,11.793,1100.936,957.109,2162.464,-0.611,"UltKan",161.875411987305
"100196443010661_ereg_212",-85.4894,43.4335,-0.248,871.098,242.552,2222.401,-0.611,"EntVert",267.658020019531
"100196769010661_ereg_222",-85.2392,43.2858,-6.505,873.102,102.444,2199.28,-1,"SpodHist",275.734436035156
"100196865010478_ereg_231",-78.7902,36.7056,11.482,1104.092,965.684,2049.323,0.001,"UltKan",118.006805419922
"100197127010478_ereg_231",-79.0267,36.5816,12.205,1113.194,982.093,2089.251,-0.163,"UltKan",161.752227783203
"100197194010661_ereg_212",-84.1398,45.1232,-5.02,764.212,262.533,1953.39,0.248,"EntVert",286.151977539062
"100197272010478_ereg_231",-78.9618,36.9483,12.085,1101.991,987.59,2207.333,0.535,"UltKan",161.456497192383
"100197706010478_ereg_231",-77.6914,37.8759,10.68,1122.997,933.119,1984.884,0.582,"UltKan",90.2923965454102
"100197821010478_ereg_231",-77.6326,37.9367,10.285,1125.377,909.008,1989.609,-0.514,"UltKan",99.0077209472656
"100198032010661_ereg_212",-84.0561,44.9744,-4.518,728.454,250.652,1916.057,0.375,"AlfInc",256.563171386719
"100198130010478_ereg_232",-77.432,37.72,10.795,1110.771,952.358,2196.722,-0.701,"Others",71.3748626708984
"100198267010661_ereg_212",-84.2729,44.9049,-7.49,777.438,250.263,2032.535,-0.702,"SpodHist",385.021911621094
"100198346010478_ereg_231",-77.6081,37.7364,10.4,1107.273,918.954,2070.8,-0.097,"Others",70.2797088623047
"100198851010661_ereg_222",-86.292,43.1655,-1.105,845.187,762.194,766.928,-1,"SpodHist",196.873077392578
"100198939010478_ereg_232",-75.4924,37.9612,7.42,1133.004,565.16,2249.777,1,"Others",9.88296222686768
"100198952010661_ereg_222",-86.1276,43.2018,-0.815,856.269,684.438,1609.049,0,"SpodHist",194.595947265625
"100199196010661_ereg_222",-86.2172,43.349,0.363,854.988,202.294,2293.983,0.336,"SpodHist",218.086791992188
"100199338010661_ereg_212",-85.8283,43.8037,-1.285,894.045,217.72,2116.034,-0.685,"EntVert",264.952758789062
"100199439010661_ereg_212",-85.8575,43.74,-2.565,891.097,170.58,2128.882,1,"EntVert",267.41845703125
"100199562010661_ereg_212",-85.5741,43.6603,-4.742,897.532,102.403,2221.687,0,"AlfInc",360.333374023438
"100199705010661_ereg_212",-85.6154,43.6008,-4.305,884.71,111.992,2263.667,-0.243,"EntVert",303.213256835938
"100199749010478_ereg_231",-78.5295,37.8502,11.95,1127.357,950.194,2038.339,-0.007,"AlfInc",141.915954589844
"100199835010478_ereg_231",-78.4544,37.9454,11.238,1133.453,1340.006,1642.218,-0.397,"Others",134.623168945312
"100199998010478_ereg_221",-78.3555,38.151,11.88,1120.702,1361.2,1644.365,-0.047,"Others",131.933578491211
"100200233010661_ereg_212",-85.7152,43.6579,-3.537,889.639,110.866,2164.396,-0.144,"EntVert",286.859924316406
"100200629010478_ereg_M221",-80.1761,37.7724,9.49,1049.904,1179.451,1398.908,-0.722,"AlfInc",663.047546386719
"100200687010478_ereg_231",-77.8809,37.2542,10.012,1124.177,695.767,2281.533,-0.054,"UltKan",103.626075744629
"100200831010661_ereg_222",-83.568,42.826,-3.21,797.262,120.771,2144.427,-0.005,"SpodHist",306.676208496094
"100200920010478_ereg_231",-77.889,37.4364,10.957,1106.936,735.833,2297.928,0.003,"UltKan",97.5144882202148
"100201037010478_ereg_231",-77.6619,37.2473,10.13,1121.752,687.662,2186.839,-0.019,"UltKan",75.6738204956055
"100201304010661_ereg_212",-86.1102,43.5692,-5.075,875.039,178.42,2223.219,-0.819,"SpodHist",242.3056640625
"100201455010478_ereg_M221",-79.3168,37.5859,9.725,1111.324,929.866,1857.242,0.001,"UltKan",319.868072509766
"100201679010478_ereg_231",-79.1686,37.5076,10.162,1125.888,706.746,2372.299,-0.005,"Others",229.171951293945
"100202150010478_ereg_M221",-79.0977,37.641,9.95,1129.497,695.952,2204.212,0,"UltKan",293.125274658203
"100202323010478_ereg_231",-78.8735,37.4883,9.773,1101.913,691.819,2321.917,0,"Others",214.557723999023
"100202399010478_ereg_231",-78.8037,37.232,10.62,1101.031,717.813,2344.189,-0.082,"UltKan",210.354507446289
"100202469010478_ereg_231",-78.786,37.3132,10.377,1123.503,711.009,2360.578,-0.965,"UltKan",217.599136352539
"100202538010661_ereg_212",-89.0842,46.9171,-6.3,835.939,245.252,1756.289,-1,"AlfInc",255.868362426758
"100202675010661_ereg_212",-89.4578,46.8102,-6.885,834.95,258.255,1900.549,-0.024,"AlfInc",212.783081054688
"100202787010661_ereg_212",-89.1138,46.8484,-9.008,846.291,158.918,1802.308,0.723,"AlfInc",282.702758789062
"100202906010478_ereg_M221",-78.8957,38.0454,10.117,1144.52,1314.717,1716.768,-0.261,"AlfInc",520.620727539062
"100202965010661_ereg_212",-89.1516,46.7691,-6.94,839.735,232.56,1897.482,-0.091,"AlfInc",223.248123168945
"100203109010478_ereg_M221",-79.3515,38.0991,8.523,1046.173,1236.042,1270.376,-0.664,"AlfInc",533.230529785156
"100203198010661_ereg_212",-89.8075,46.6576,-8.015,936.554,145.567,1685.434,0.637,"SpodHist",503.466400146484
"100203242010478_ereg_M221",-79.3055,38.1862,6.363,1183.252,1345.584,950.106,0.407,"AlfInc",1090.70678710938
"100203328010478_ereg_M221",-79.1026,37.9711,9.497,1322.694,1422.959,1199.752,-0.082,"AlfInc",654.466369628906
"100203430010661_ereg_212",-89.3256,46.6665,-8.46,899.821,210.131,1787.732,-0.675,"SpodHist",360.903991699219
"100203537010478_ereg_M221",-78.9416,37.9526,10.425,1122.965,1505.309,1238.809,-0.073,"AlfInc",604.866394042969
"100203601010478_ereg_M221",-79.2282,38.3426,8.15,1020.475,1305.251,1122.843,-0.526,"AlfInc",706.521545410156
"100203677010478_ereg_M221",-79.2789,38.2783,7.72,1033.318,1170.809,1262.099,-0.333,"AlfInc",634.22314453125
"100203713010661_ereg_212",-89.2334,46.5116,-8.727,784.753,173.788,1952.137,0,"AlfInc",387.370452880859
"100203741010478_ereg_M221",-79.9073,38.0056,6.508,1055.468,543.624,1874.674,0.5,"AlfInc",817.664306640625
"100203814010661_ereg_212",-89.2771,46.3525,-10.558,785.068,149.892,1813.762,0,"SpodHist",478.503448486328
"100203867010661_ereg_212",-89.2419,46.8935,-4.582,791.721,175.548,1540.153,-0.029,"AlfInc",199.4697265625
"100203891010478_ereg_M221",-79.8562,38.1483,5.188,1060.51,805.718,1545.626,-0.518,"Others",576.637817382812
"100203987010478_ereg_M221",-79.7785,38.2122,4.455,1053.342,670.826,1707.525,-0.649,"AlfInc",822.855285644531
"100203998010661_ereg_212",-89.8179,46.8015,-2.433,821.278,576.433,786.242,-1,"AlfInc",235.962799072266
"100204053010478_ereg_M221",-79.7067,38.037,6.405,1033.076,556.619,1979.236,0.223,"AlfInc",541.056518554688
"100204108010661_ereg_212",-89.6615,46.8082,-3.815,930.193,254.709,1649.317,-0.232,"SpodHist",396.179290771484
"100204160010478_ereg_M221",-79.6544,38.0989,6.927,1032.188,559.057,1896.781,0.341,"Others",521.285766601562
"100204299010661_ereg_212",-89.2606,46.8259,-7.275,827.495,251.362,1926.273,-0.744,"AlfInc",255.708053588867
"100204343010478_ereg_M221",-79.554,38.0608,6.685,1134.887,1173.139,1301.841,-0.198,"AlfInc",671.727722167969
"100204444010478_ereg_M221",-79.7841,37.9516,8.195,1080.129,1076.253,1384.485,-0.981,"AlfInc",651.142517089844
"100204523010478_ereg_M221",-79.7685,37.9061,7.022,1015.636,554.913,1895.701,-0.01,"AlfInc",515.277648925781
"100204607010478_ereg_M221",-79.6783,37.4637,9.717,1099.489,663.764,2175.5,-0.274,"UltKan",381.415954589844
"100204788010661_ereg_212",-89.6697,46.7134,-4.905,896.83,148.383,1816.612,-0.693,"AlfInc",306.730499267578
"100204953010661_ereg_212",-89.5374,46.6456,-6.197,977.868,137.365,1767.494,-0.485,"SpodHist",431.354370117188
"100205155010478_ereg_M221",-79.5014,37.5171,5.353,1410.716,1055.758,1136.617,-0.712,"UltKan",1108.63745117188
"100205204010661_ereg_212",-89.3476,46.7381,-6.215,843.511,228.827,1843.627,0,"AlfInc",280.101837158203
"100205339010661_ereg_212",-89.0231,46.6067,-7.427,750.465,180.968,1838.404,-1,"AlfInc",344.566680908203
"100205493010478_ereg_231",-79.371,37.4031,9.238,1137.991,653.964,2212.782,-0.498,"UltKan",301.893615722656
"100205646010478_ereg_M221",-79.4028,37.5748,10.197,1205.445,1466.442,1201.592,-1,"UltKan",340.396636962891
"100205730010478_ereg_231",-79.4128,37.3457,9.84,1083.897,708.964,2395.007,0.016,"UltKan",242.065551757812
"100205940010478_ereg_M221",-81.2627,37.1756,5.013,1054.562,762.76,1665.749,-0.999,"AlfInc",904.2744140625
"100206047010478_ereg_M221",-81.0947,37.1651,4.263,1030.023,700.495,1584.991,0,"AlfInc",795.744750976562
"100206216010661_ereg_212",-85.2731,43.9804,-7.058,849.782,362.058,1724.349,0.451,"EntVert",402.715698242188
"100206318010661_ereg_212",-84.3262,44.8481,-7.62,774.535,235.793,1942.647,-0.208,"SpodHist",374.042144775391
"100206506010661_ereg_212",-83.9605,44.8147,-5.965,726.786,107.89,2175.657,-0.215,"EntVert",299.023986816406
